Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;01/01/1962;0000;;25.4;;;1.6;21.7;86.25;4;
83985;01/01/1962;1200;0;;18.4;;;;;;
83985;02/01/1962;0000;;29.2;;;1;23.16;76;0.666667;
83985;02/01/1962;1200;15.8;;20;;;;;;
83985;03/01/1962;0000;;24.6;;;0.8;18.66;67.5;4;
83985;03/01/1962;1200;2.4;;14;;;;;;
83985;04/01/1962;0000;;30.2;;;1.8;21.82;61;1.333333;
83985;04/01/1962;1200;0;;11.4;;;;;;
83985;05/01/1962;0000;;31.2;;;5.2;23.98;59.25;2.666667;
83985;05/01/1962;1200;0;;17.2;;;;;;
83985;06/01/1962;0000;;30.6;;;6.8;24.18;73;2.666667;
83985;06/01/1962;1200;0;;16.4;;;;;;
83985;07/01/1962;0000;;27.8;;;2.7;23.82;77;2;
83985;07/01/1962;1200;0;;20.6;;;;;;
83985;08/01/1962;0000;;30.6;;;1.8;24.7;76.5;1.333333;
83985;08/01/1962;1200;0;;18.6;;;;;;
83985;09/01/1962;0000;;33.8;;;3.1;25.46;67.75;0.666667;
83985;09/01/1962;1200;0;;20.2;;;;;;
83985;10/01/1962;0000;;26.6;;;4.6;21.94;65.75;2.666667;
83985;10/01/1962;1200;0;;18.2;;;;;;
83985;11/01/1962;0000;;26.8;;;4.8;22.82;67.25;2;
83985;11/01/1962;1200;0;;19;;;;;;
83985;12/01/1962;0000;;25.8;;;4.8;22.94;68.25;1.333333;
83985;12/01/1962;1200;0;;20.6;;;;;;
83985;13/01/1962;0000;;28.8;;;3.6;22.9;74;2.666667;
83985;13/01/1962;1200;0;;16.6;;;;;;
83985;14/01/1962;0000;;25.6;;;3.1;21.38;70;4;
83985;14/01/1962;1200;37.4;;19.6;;;;;;
83985;15/01/1962;0000;;22.3;;;4.9;17.8;66.5;4;
83985;15/01/1962;1200;0;;11.6;;;;;;
83985;16/01/1962;0000;;25.8;;;4.8;19.38;58.5;2.666667;
83985;16/01/1962;1200;0;;10;;;;;;
83985;17/01/1962;0000;;26.8;;;4.2;20.46;78.25;0.666667;
83985;17/01/1962;1200;0;;12.2;;;;;;
83985;18/01/1962;0000;;27.8;;;3.6;22.02;76.75;3.333333;
83985;18/01/1962;1200;0;;15.6;;;;;;
83985;19/01/1962;0000;;27.4;;;2.7;22.02;74.75;0.666667;
83985;19/01/1962;1200;0;;16;;;;;;
83985;20/01/1962;0000;;28;;;3.5;22.54;78;3.333333;
83985;20/01/1962;1200;0;;16.2;;;;;;
83985;21/01/1962;0000;;28.8;;;3.5;23.98;76.75;4;
83985;21/01/1962;1200;0;;21.4;;;;;;
83985;22/01/1962;0000;;31.8;;;4.4;25.38;73.75;4;
83985;22/01/1962;1200;0;;20;;;;;;
83985;23/01/1962;0000;;31.9;;;3;25.8;67.75;0.666667;
83985;23/01/1962;1200;6.4;;20.8;;;;;;
83985;24/01/1962;0000;;28.4;;;2.6;22.98;73.25;2.666667;
83985;24/01/1962;1200;0;;19.2;;;;;;
83985;25/01/1962;0000;;26.2;;;1.6;20.38;70;2;
83985;25/01/1962;1200;0;;17.2;;;;;;
83985;26/01/1962;0000;;25.8;;;5.4;21.6;61;2.666667;
83985;26/01/1962;1200;0;;16.4;;;;;;
83985;27/01/1962;0000;;27.1;;;5.6;22.96;65.5;2.666667;
83985;27/01/1962;1200;0;;18.8;;;;;;
83985;28/01/1962;0000;;28;;;4.6;22.38;81.75;3.333333;
83985;28/01/1962;1200;0;;16.6;;;;;;
83985;29/01/1962;0000;;28;;;4.3;22.74;83.75;3.333333;
83985;29/01/1962;1200;0;;20.2;;;;;;
83985;30/01/1962;0000;;27.4;;;3.9;23.34;65.75;2.666667;
83985;30/01/1962;1200;0;;18.6;;;;;;
83985;31/01/1962;0000;;27.2;;;4.1;22.78;69.25;4;
83985;31/01/1962;1200;0;;19.8;;;;;;
83985;03/03/1962;0000;;28;;;1.8;23.22;86.25;4;
83985;03/03/1962;1200;;;18.2;;;;;;
83985;04/03/1962;0000;;27.8;;;2;23.54;85.5;4;
83985;04/03/1962;1200;0;;21;;;;;;
83985;05/03/1962;0000;;30.6;;;2.4;23.48;81;2;
83985;05/03/1962;1200;0;;20.3;;;;;;
83985;06/03/1962;0000;;29.8;;;1.2;22.82;75.75;2.666667;
83985;06/03/1962;1200;13.4;;18.2;;;;;;
83985;07/03/1962;0000;;29.1;;;4.6;21.24;74.25;2;
83985;07/03/1962;1200;0;;16.6;;;;;;
83985;08/03/1962;0000;;26.8;;;5.2;21.06;65;1.333333;
83985;08/03/1962;1200;0;;12;;;;;;
83985;09/03/1962;0000;;31;;;3.7;22.94;86;1.333333;
83985;09/03/1962;1200;0;;16.6;;;;;;
83985;10/03/1962;0000;;23.2;;;1.8;19.38;82.75;1.333333;
83985;10/03/1962;1200;33.4;;17;;;;;;
83985;11/03/1962;0000;;25.2;;;1.9;19.46;75;2.666667;
83985;11/03/1962;1200;1.5;;14.4;;;;;;
83985;12/03/1962;0000;;24.2;;;3.1;17.34;84;1.333333;
83985;12/03/1962;1200;0;;10.6;;;;;;
83985;13/03/1962;0000;;24.2;;;2.4;18.38;79.25;0;
83985;13/03/1962;1200;0;;11.8;;;;;;
83985;14/03/1962;0000;;23.7;;;2.5;18.84;76.5;0;
83985;14/03/1962;1200;3.2;;14.6;;;;;;
83985;15/03/1962;0000;;24.2;;;3.2;20.34;76;2;
83985;15/03/1962;1200;5.5;;15.4;;;;;;
83985;16/03/1962;0000;;22.6;;;1.8;21.14;91;3.333333;
83985;16/03/1962;1200;6.5;;19.6;;;;;;
83985;17/03/1962;0000;;27.4;;;2.4;22.82;91.75;1.333333;
83985;17/03/1962;1200;151;;19.6;;;;;;
83985;18/03/1962;0000;;27.4;;;3.3;23.66;91.25;0.666667;
83985;18/03/1962;1200;15.2;;22;;;;;;
83985;19/03/1962;0000;;28;;;1.4;24.34;76.75;3.333333;
83985;19/03/1962;1200;0;;14.8;;;;;;
83985;20/03/1962;0000;;27;;;1.8;22.18;63;0;
83985;20/03/1962;1200;11;;16.2;;;;;;
83985;21/03/1962;0000;;30.3;;;3.6;21.72;62.75;4;
83985;21/03/1962;1200;26.5;;14.6;;;;;;
83985;22/03/1962;0000;;25.1;;;3.3;19.36;82;2.666667;
83985;22/03/1962;1200;0;;16.2;;;;;;
83985;23/03/1962;0000;;24.5;;;4.4;17.64;81.5;1.333333;
83985;23/03/1962;1200;0;;11.6;;;;;;
83985;24/03/1962;0000;;27;;;4.7;21.8;82.5;2.666667;
83985;24/03/1962;1200;0;;15.1;;;;;;
83985;25/03/1962;0000;;30.2;;;4.4;24.08;84.75;2;
83985;25/03/1962;1200;0;;20.5;;;;;;
83985;26/03/1962;0000;;27.2;;;2.3;23.22;91.75;1.333333;
83985;26/03/1962;1200;25;;21;;;;;;
